"POS"	"item"	"cond"	"wp"	"word"	"lemma"	"nchar"	"countForm"	"countLemma"	"listType"	"open"	"cwo"	"owo"
"ADV"	35	"SYV"	3	"bene"	"bene"	4	646059	921546	"A"	0	2	NA
"ARTPRE"	35	"SYV"	4	"agli"	"al"	4	1023179	13869519	"A"	0	3	NA
"NOUN"	35	"SYV"	5	"alunni"	"alunno"	6	85364	105971	"A"	1	NA	3
"ART"	36	"SYC"	0	"I"	"il"	1	1920335	50202323	"A"	0	1	NA
"NOUN"	36	"SYC"	1	"gatti"	"gatto"	5	20884	51884	"A"	1	NA	1
"VER:fin"	36	"SYC"	2	"scappano"	"scappare"	8	2315	41336	"A"	1	NA	2
"ADV"	36	"SYC"	3	"fuori"	"fuori"	5	393771	417270	"A"	0	2	NA
"ARTPRE"	36	"SYC"	4	"dal"	"dal"	3	3769430	5697743	"A"	0	3	NA
"NOUN"	36	"SYC"	5	"cancello"	"cancello"	8	8486	14131	"A"	1	NA	3
"ART"	36	"SYV"	0	"Il"	"il"	2	4690327	50202323	"B"	0	1	NA
"NOUN"	36	"SYV"	1	"gatto"	"gatto"	5	22226	51884	"B"	1	NA	1
"VER:fin"	36	"SYV"	2	"scappano"	"scappare"	8	2315	41336	"B"	1	NA	2
"ADV"	36	"SYV"	3	"fuori"	"fuori"	5	393771	417270	"B"	0	2	NA
"ART"	37	"SYC"	0	"La"	"la"	2	4222776	42872777	"B"	0	1	NA
"NOUN"	37	"SYC"	1	"sedia"	"sedia"	5	17772	27519	"B"	1	NA	1
"VER:fin"	37	"SYC"	2	"sta"	"stare"	3	532530	1484866	"B"	1	NA	2
"ADV"	37	"SYC"	3	"qui"	"qui"	3	596519	701543	"B"	0	2	NA
"ART"	37	"SYV"	0	"Le"	"la"	2	1428406	42872777	"A"	0	1	NA
"NOUN"	37	"SYV"	1	"sedie"	"sedia"	5	8775	27519	"A"	1	NA	1
"VER:fin"	37	"SYV"	2	"sta"	"stare"	3	532530	1484866	"A"	1	NA	2
"ADV"	37	"SYV"	3	"qui"	"qui"	3	596519	701543	"A"	0	2	NA
"ADJ"	37	"SYV"	4	"vicino"	"vicino"	6	161723	294447	"A"	1	NA	3
"ARTPRE"	37	"SYV"	5	"al"	"al"	2	8485938	13869519	"A"	0	3	NA
"NOUN"	37	"SYV"	6	"tavolo"	"tavolo"	6	64038	86899	"A"	1	NA	4
"ART"	38	"SYC"	0	"Gli"	"il"	3	558412	50202323	"A"	0	1	NA
"NOUN"	38	"SYC"	1	"uomini"	"uomo"	6	313951	915167	"A"	1	NA	1
"VER:fin"	38	"SYC"	2	"parlano"	"parlare"	7	43593	909141	"A"	1	NA	2
"NOUN"	38	"SYC"	3	"piano"	"piano"	5	450577	703276	"A"	1	NA	3
"PRE"	38	"SYC"	4	"in"	"in"	2	21843465	23852283	"A"	0	2	NA
"NOUN"	38	"SYC"	5	"biblioteca"	"biblioteca"	10	61526	182607	"A"	1	NA	4
"ART"	38	"SYV"	0	"La"	"la"	2	4222776	42872777	"B"	0	1	NA
"NOUN"	38	"SYV"	1	"donna"	"donna"	5	233953	580156	"B"	1	NA	1
"VER:fin"	38	"SYV"	2	"parlano"	"parlare"	7	43593	909141	"B"	1	NA	2
"NOUN"	38	"SYV"	3	"piano"	"piano"	5	450577	703276	"B"	1	NA	3
"ART"	39	"SYC"	0	"Il"	"il"	2	4690327	50202323	"B"	0	1	NA
"NOUN"	39	"SYC"	1	"bambino"	"bambino"	7	151888	509570	"B"	1	NA	1
"VER:fin"	39	"SYC"	2	"gioca"	"giocare"	5	38392	221848	"B"	1	NA	2
"ADJ"	39	"SYC"	3	"lontano"	"lontano"	7	105039	198452	"B"	1	NA	3
"ART"	39	"SYV"	0	"I"	"il"	1	1920335	50202323	"A"	0	1	NA
"NOUN"	39	"SYV"	1	"bambini"	"bambino"	7	331096	509570	"A"	1	NA	1
"VER:fin"	39	"SYV"	2	"gioca"	"giocare"	5	38392	221848	"A"	1	NA	2
"ADJ"	39	"SYV"	3	"lontano"	"lontano"	7	105039	198452	"A"	1	NA	3
"ARTPRE"	39	"SYV"	4	"dalla"	"dalla"	5	2692288	3873434	"A"	0	2	NA
"NOUN"	39	"SYV"	5	"scuola"	"scuola"	6	545692	968067	"A"	1	NA	4
"ART"	40	"SYC"	0	"La"	"la"	2	4222776	42872777	"A"	0	1	NA
"NOUN"	40	"SYC"	1	"finestra"	"finestra"	8	62756	94479	"A"	1	NA	1
"VER:fin"	40	"SYC"	2	"trema"	"tremare"	5	2473	16999	"A"	1	NA	2
"ADJ"	40	"SYC"	3	"forte"	"forte"	5	298393	431082	"A"	1	NA	3
"PRE"	40	"SYC"	4	"durante"	"durante"	7	375339	451667	"A"	0	2	NA
"ART"	40	"SYC"	5	"la"	"la"	2	25477273	42872777	"A"	0	3	NA
"NOUN"	40	"SYC"	6	"bufera"	"bufera"	6	4254	5526	"A"	1	NA	4
"ART"	40	"SYV"	0	"La"	"la"	2	4222776	42872777	"B"	0	1	NA
"NOUN"	40	"SYV"	1	"finestra"	"finestra"	8	62756	94479	"B"	1	NA	1
"VER:fin"	40	"SYV"	2	"tremano"	"tremare"	7	1217	16999	"B"	1	NA	2
"ADJ"	40	"SYV"	3	"forte"	"forte"	5	298393	431082	"B"	1	NA	3
"ART"	41	"SEC"	0	"La"	"la"	2	4222776	42872777	"A"	0	1	NA
"NOUN"	41	"SEC"	1	"bambina"	"bambina"	7	33317	51383	"A"	1	NA	1
"VER:fin"	41	"SEC"	2	"fugge"	"fuggire"	5	6252	53262	"A"	1	NA	2
"ADJ"	41	"SEC"	3	"veloce"	"veloce"	6	56039	82879	"A"	1	NA	3
"PRE"	41	"SEC"	4	"davanti"	"davanti"	7	211782	223261	"A"	0	2	NA
"ARTPRE"	41	"SEC"	5	"al"	"al"	2	8485938	13869519	"A"	0	3	NA
"NOUN"	41	"SEC"	6	"cacciatore"	"cacciatore"	10	11050	35974	"A"	1	NA	4
"ART"	41	"SEV"	0	"La"	"la"	2	4222776	42872777	"B"	0	1	NA
"NOUN"	41	"SEV"	1	"bambina"	"bambina"	7	33317	51383	"B"	1	NA	1
"VER:fin"	41	"SEV"	2	"piove"	"piovere"	5	8663	24415	"B"	1	NA	2
"ADJ"	41	"SEV"	3	"veloce"	"veloce"	6	56039	82879	"B"	1	NA	3
"ART"	42	"SEC"	0	"La"	"la"	2	4222776	42872777	"A"	0	1	NA
"ART"	42	"SEC"	0	"Gli"	"il"	3	558412	50202323	"B"	0	2	NA
"NOUN"	42	"SEC"	1	"alunni"	"alunno"	6	85364	105971	"B"	1	NA	1
"NOUN"	42	"SEC"	1	"scala"	"scala"	5	73374	119029	"A"	1	NA	2
"VER:fin"	42	"SEC"	2	"ascoltano"	"ascoltare"	9	5076	177864	"B"	1	NA	3
"VER:fin"	42	"SEC"	2	"scricchiola"	"scricchiolare"	11	451	1900	"A"	1	NA	4
"ADJ"	42	"SEC"	3	"forte"	"forte"	5	298393	431082	"A"	1	NA	5
"ADV"	42	"SEC"	3	"sempre"	"sempre"	6	1481805	1554525	"B"	0	3	NA
"WH"	42	"SEC"	4	"quando"	"quando"	6	1247131	1536486	"A"	0	4	NA
"VER:fin"	42	"SEC"	5	"passa"	"passare"	5	105878	589451	"A"	1	NA	6
"ART"	42	"SEC"	6	"il"	"il"	2	25306031	50202323	"A"	0	5	NA
"NOUN"	42	"SEC"	7	"ladro"	"ladro"	5	9437	23926	"A"	1	NA	7
"ART"	43	"SEV"	0	"Le"	"la"	2	1428406	42872777	"A"	0	1	NA
"ART"	43	"SEV"	0	"Il"	"il"	2	4690327	50202323	"B"	0	2	NA
"NOUN"	43	"SEV"	1	"colline"	"collina"	7	17797	38744	"A"	1	NA	1
"NOUN"	43	"SEV"	1	"bambino"	"bambino"	7	151888	509570	"B"	1	NA	2
"VER:fin"	43	"SEV"	2	"ascoltano"	"ascoltare"	9	5076	177864	"A"	1	NA	3
"VER:fin"	43	"SEV"	2	"squilla"	"squillare"	7	1526	4426	"B"	1	NA	4
"ADV"	43	"SEV"	3	"spesso"	"spesso"	6	408855	447712	"B"	0	3	NA
"ADV"	43	"SEV"	3	"sempre"	"sempre"	6	1481805	1554525	"A"	0	4	NA
"PRE"	43	"SEV"	4	"con"	"con"	3	10987094	11520484	"A"	0	5	NA
"NOUN"	43	"SEV"	5	"aria"	"aria"	4	164505	176087	"A"	1	NA	5
"ADJ"	43	"SEV"	6	"annoiata"	"annoiato"	8	1117	3555	"A"	1	NA	6
"ART"	44	"SEC"	0	"La"	"la"	2	4222776	42872777	"B"	0	1	NA
"NOUN"	44	"SEC"	1	"sarta"	"sarta"	5	815	1233	"B"	1	NA	1
"VER:fin"	44	"SEC"	2	"stira"	"stirare"	5	440	5162	"B"	1	NA	2
"ADJ"	44	"SEC"	3	"distratta"	"distratto"	9	2636	7995	"B"	1	NA	3
"ART"	44	"SEV"	0	"Il"	"il"	2	4690327	50202323	"A"	0	1	NA
"NOUN"	44	"SEV"	1	"bambino"	"bambino"	7	151888	509570	"A"	1	NA	1
"ADJ"	44	"SEV"	2	"squilla"	"squillo"	7	1526	3722	"A"	1	NA	2
"ADV"	44	"SEV"	3	"sempre"	"sempre"	6	1481805	1554525	"A"	0	2	NA
"ARTPRE"	44	"SEV"	4	"alla"	"alla"	4	6161794	9464459	"A"	0	3	NA
"ADJ"	44	"SEV"	5	"stessa"	"stesso"	6	610546	2103808	"A"	1	NA	3
"NOUN"	44	"SEV"	6	"ora"	"ora"	3	767444	1821753	"A"	1	NA	4
"ART"	45	"SEC"	0	"La"	"la"	2	4222776	42872777	"A"	0	1	NA
"NOUN"	45	"SEC"	1	"sarta"	"sarta"	5	815	1233	"A"	1	NA	1
"VER:fin"	45	"SEC"	2	"stira"	"stirare"	5	440	5162	"A"	1	NA	2
"VER:ppast"	45	"SEC"	3	"distratta"	"distrarre"	9	2636	11382	"A"	1	NA	3
"ART"	45	"SEC"	4	"una"	"una"	3	10763823	11385007	"A"	0	2	NA
"NOUN"	45	"SEC"	5	"camicia"	"camicia"	7	10772	15531	"A"	1	NA	4
"ART"	45	"SEV"	0	"I"	"il"	1	1920335	50202323	"B"	0	1	NA
"NOUN"	45	"SEV"	1	"soldati"	"soldato"	7	59860	83954	"B"	1	NA	1
"VER:fin"	45	"SEV"	2	"cigolano"	"cigolare"	8	80	866	"B"	1	NA	2
"ADV:mente"	45	"SEV"	3	"coraggiosamente"	"coraggiosamente"	15	2712	2799	"B"	1	NA	3
"ART"	46	"SEC"	0	"Lo"	"il"	2	431681	50202323	"B"	0	1	NA
"ART"	46	"SEC"	0	"Il"	"il"	2	4690327	50202323	"A"	0	2	NA
"NOUN"	46	"SEC"	1	"sole"	"sole"	4	150590	256579	"A"	1	NA	1
"NOUN"	46	"SEC"	1	"spettatore"	"spettatore"	10	22357	53182	"B"	1	NA	2
"VER:fin"	46	"SEC"	2	"tramonta"	"tramontare"	8	2002	9485	"A"	1	NA	3
"VER:fin"	46	"SEC"	2	"applaude"	"applaudire"	8	1562	9232	"B"	1	NA	4
"ADJ"	46	"SEC"	3	"sorpreso"	"sorpreso"	8	12433	5788	"B"	1	NA	5
"ADV"	46	"SEC"	3	"tardi"	"tardi"	5	65728	64276	"A"	0	3	NA
"ARTPRE"	46	"SEC"	4	"al"	"al"	2	8485938	13869519	"A"	0	4	NA
"NOUN"	46	"SEC"	5	"mare"	"mare"	4	215188	261799	"A"	1	NA	6
"ART"	47	"SEV"	0	"Lo"	"il"	2	431681	50202323	"B"	0	1	NA
"ART"	47	"SEV"	0	"I"	"il"	1	1920335	50202323	"A"	0	2	NA
"NOUN"	47	"SEV"	1	"scolaro"	"scolaro"	7	1038	7566	"B"	1	NA	1
"NOUN"	47	"SEV"	1	"sedili"	"sedile"	6	5183	10967	"A"	1	NA	2
"VER:fin"	47	"SEV"	2	"partono"	"partire"	7	14434	401049	"A"	1	NA	3
"VER:fin"	47	"SEV"	2	"tuona"	"tuonare"	5	1452	4892	"B"	1	NA	4
"ADV:mente"	47	"SEV"	3	"lentamente"	"lentamente"	10	33222	35320	"B"	1	NA	5
"ARTPRE"	47	"SEV"	3	"al"	"al"	2	8485938	13869519	"A"	0	3	NA
"NOUN"	47	"SEV"	4	"mattino"	"mattino"	7	50266	57307	"A"	1	NA	6
"ARTPRE"	47	"SEV"	5	"al"	"al"	2	8485938	13869519	"A"	0	4	NA
"NOUN"	47	"SEV"	6	"fronte"	"fronte"	6	359742	379441	"A"	1	NA	7
"ART"	48	"SEC"	0	"Una"	"una"	3	561713	11385007	"B"	0	1	NA
"NOUN"	48	"SEC"	1	"infermiera"	"infermiera"	10	4733	5105	"B"	1	NA	1
"NOUN"	48	"SEC"	2	"cura"	"cura"	4	324294	371037	"B"	1	NA	2
"ADJ"	48	"SEC"	3	"timorosa"	"timoroso"	8	748	3298	"B"	1	NA	3
"ART"	48	"SEV"	0	"Il"	"il"	2	4690327	50202323	"A"	0	1	NA
"NOUN"	48	"SEV"	1	"tasto"	"tasto"	5	22262	32133	"A"	1	NA	1
"VER:fin"	48	"SEV"	2	"germoglia"	"germogliare"	9	484	3328	"A"	1	NA	2
"ARTPRE"	48	"SEV"	3	"nel"	"nel"	3	5498471	8963677	"A"	0	2	NA
"NOUN"	48	"SEV"	4	"prato"	"prato"	5	11626	24760	"A"	1	NA	3
"PRE"	48	"SEV"	5	"in"	"in"	2	21843465	23852283	"A"	0	3	NA
"NOUN"	48	"SEV"	6	"primavera"	"primavera"	9	45829	55005	"A"	1	NA	4
"ART"	49	"SEC"	0	"Lo"	"il"	2	431681	50202323	"A"	0	1	NA
"NOUN"	49	"SEC"	1	"scolaro"	"scolaro"	7	1038	7566	"A"	1	NA	1
"VER:fin"	49	"SEC"	2	"scrive"	"scrivere"	6	107998	974133	"A"	1	NA	2
"ADV:mente"	49	"SEC"	3	"lentamente"	"lentamente"	10	33222	35320	"A"	1	NA	3
"ARTPRE"	49	"SEC"	4	"sul"	"sul"	3	2017732	3238574	"A"	0	2	NA
"NOUN"	49	"SEC"	5	"quaderno"	"quaderno"	8	4648	19502	"A"	1	NA	4
"ART"	49	"SEV"	0	"Il"	"il"	2	4690327	50202323	"B"	0	1	NA
"NOUN"	49	"SEV"	1	"capotreno"	"capotreno"	9	481	548	"B"	1	NA	1
"VER:fin"	49	"SEV"	2	"germoglia"	"germogliare"	9	484	3328	"B"	1	NA	2
"ADJ"	49	"SEV"	3	"forte"	"forte"	5	298393	431082	"B"	1	NA	3
"ART"	50	"SEC"	0	"Il"	"il"	2	4690327	50202323	"B"	0	1	NA
"NOUN"	50	"SEC"	1	"conducente"	"conducente"	10	16267	21682	"B"	1	NA	1
"VER:fin"	50	"SEC"	2	"sterza"	"sterzare"	6	151	1709	"B"	1	NA	2
"ADV:mente"	50	"SEC"	3	"improvvisamente"	"improvvisamente"	15	24723	28827	"B"	1	NA	3
"ART"	50	"SEV"	0	"Lo"	"il"	2	431681	50202323	"A"	0	1	NA
"NOUN"	50	"SEV"	1	"spazzino"	"spazzino"	8	422	886	"A"	1	NA	1
"VER:fin"	50	"SEV"	2	"fonde"	"fondere"	5	3502	22078	"A"	1	NA	2
"ADV"	50	"SEV"	3	"solo"	"solo"	4	2118720	2526711	"A"	0	2	NA
"PRE"	50	"SEV"	4	"ad"	"ad"	2	3701507	3839588	"A"	0	3	NA
"ADJ"	50	"SEV"	5	"elevate"	"elevato"	7	17734	134807	"A"	1	NA	3
"NOUN"	50	"SEV"	6	"temperature"	"temperatura"	11	19479	76828	"A"	1	NA	4
"NOUN"	51	"WS"	0	"Tavolo"	"tavolo"	6	5485	86899	"A"	1	NA	1
"NOUN"	51	"WS"	1	"scarpa"	"scarpa"	6	4142	37436	"A"	1	NA	2
"VER:fin"	51	"WS"	2	"mangia"	"mangiare"	6	17919	148244	"A"	1	NA	3
"NOUN"	51	"WS"	3	"bicicletta"	"bicicletta"	10	21202	31511	"A"	1	NA	4
"NOUN"	52	"WS"	0	"Libro"	"libro"	5	24961	496316	"A"	1	NA	1
"NOUN"	52	"WS"	1	"mucca"	"mucca"	5	9610	18643	"A"	1	NA	2
"NOUN"	52	"WS"	2	"finestra"	"finestra"	8	62756	94479	"A"	1	NA	3
"VER:fin"	52	"WS"	3	"corre"	"correre"	5	30486	183770	"A"	1	NA	4
"NOUN"	53	"WS"	0	"Muro"	"muro"	4	5742	107436	"A"	1	NA	1
"NOUN"	53	"WS"	1	"taglia"	"taglia"	6	22501	21169	"A"	1	NA	2
"NOUN"	53	"WS"	2	"pomodoro"	"pomodoro"	8	11670	25172	"A"	1	NA	3
"NOUN"	53	"WS"	3	"bambino"	"bambino"	7	151888	509570	"A"	1	NA	4
"VER:fin"	54	"WS"	0	"Salta"	"saltare"	5	3019	71256	"A"	1	NA	1
"NOUN"	54	"WS"	1	"matita"	"matita"	6	6771	9903	"A"	1	NA	2
"NOUN"	54	"WS"	2	"sedia"	"sedia"	5	17772	27519	"A"	1	NA	3
"NOUN"	54	"WS"	3	"pane"	"pane"	4	52398	61185	"A"	1	NA	4
"NOUN"	55	"WS"	0	"Cucchiaio"	"cucchiaio"	9	1695	24358	"A"	1	NA	1
"ADJ"	55	"WS"	1	"nuvola"	"nuvolo"	6	6273	14253	"A"	1	NA	2
"VER:fin"	55	"WS"	2	"beve"	"bere"	4	7879	78752	"A"	1	NA	3
"NOUN"	55	"WS"	3	"zaino"	"zaino"	5	6024	8449	"A"	1	NA	4
